id,image,gt_count,pred_count,signed_error,abs_error
PartA_00209,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00209.jpg,84,0,-84,84
PartA_00038,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00038.jpg,83,0,-83,83
PartA_00197,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00197.jpg,80,0,-80,80
PartA_00044,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00044.jpg,80,0,-80,80
PartA_00079,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00079.jpg,80,0,-80,80
PartA_00201,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00201.jpg,79,0,-79,79
PartA_00117,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00117.jpg,78,0,-78,78
PartA_00127,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00127.jpg,73,0,-73,73
PartA_00143,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00143.jpg,71,0,-71,71
PartB_02190,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_02190.jpg,93,164,71,71
PartA_00084,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00084.jpg,71,0,-71,71
PartA_00141,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00141.jpg,68,0,-68,68
PartA_00207,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00207.jpg,67,0,-67,67
PartA_00045,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00045.jpg,66,0,-66,66
PartA_00204,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00204.jpg,64,0,-64,64
PartA_00192,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00192.jpg,56,0,-56,56
PartA_00185,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00185.jpg,54,0,-54,54
PartA_00040,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00040.jpg,49,0,-49,49
PartB_00169,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_00169.jpg,54,96,42,42
PartA_00214,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00214.jpg,35,0,-35,35
PartA_00134,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00134.jpg,30,0,-30,30
PartB_02137,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_02137.jpg,62,88,26,26
PartB_01913,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_01913.jpg,58,34,-24,24
PartB_00989,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_00989.jpg,76,56,-20,20
PartB_02167,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_02167.jpg,115,96,-19,19
PartA_01041,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_01041.jpg,60,76,16,16
PartA_00029,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00029.jpg,16,0,-16,16
PartB_02401,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_02401.jpg,78,63,-15,15
PartA_00037,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00037.jpg,15,0,-15,15
PartA_01043,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_01043.jpg,66,79,13,13
